Location,Date
,2018-06-21T07:08:26.000Z
Death Valley National Park,2018-06-21T06:42:13.000Z
,2018-06-21T06:33:49.000Z
,2018-06-21T06:17:36.000Z
"Burlingame, California",2018-06-21T05:59:14.000Z
Jackson Square,2018-06-21T04:59:20.000Z
Flatiron Building,2018-06-21T04:37:33.000Z
Aloft Minneapolis,2018-06-21T04:07:18.000Z
Capitol Hill,2018-06-21T03:57:57.000Z
,2018-06-21T03:15:18.000Z
Narada Falls,2018-06-21T03:14:46.000Z
United States Capitol,2018-06-21T02:44:03.000Z
,2018-06-21T02:43:50.000Z
,2018-06-21T02:26:18.000Z
Tower Oaks Lodge,2018-06-21T02:24:50.000Z
,2018-06-21T01:41:36.000Z
,2018-06-21T01:40:37.000Z
,2018-06-21T00:32:02.000Z
,2018-06-21T00:29:09.000Z
Golden Gate Bridge,2018-06-21T00:00:24.000Z
"Paradise, Mount Rainier National Park",2018-06-20T20:56:18.000Z
,2018-06-20T20:40:29.000Z
Warner Bros. Studio Tour Hollywood,2018-06-20T20:33:37.000Z
"Seligman, Arizona",2018-06-20T20:28:32.000Z
Petco Park,2018-06-20T19:47:07.000Z
,2018-06-20T18:55:07.000Z
,2018-06-20T18:51:46.000Z
,2018-06-20T18:30:46.000Z
Boston Logan International Airport,2018-06-20T18:29:36.000Z
"Las Vegas, Nevada",2018-06-20T17:52:45.000Z
Suzzallo Library,2018-06-20T17:17:13.000Z
Vegas Indoor Skydiving,2018-06-20T16:52:11.000Z
Balboa Park,2018-06-20T16:11:48.000Z
,2018-06-20T15:51:02.000Z
"New York, New York",2018-06-20T15:31:45.000Z
,2018-06-20T14:25:25.000Z
"Denver, Colorado",2018-06-20T14:16:30.000Z
Lincoln Park Zoo,2018-06-20T13:48:51.000Z
"Memphis, Tennessee",2018-06-20T13:22:04.000Z
"31St Street, Midtown, Manhattan",2018-06-20T13:02:17.000Z
,2018-06-20T12:55:08.000Z
,2018-06-20T12:25:32.000Z
"Niagara Falls, New York",2018-06-20T12:05:26.000Z
,2018-06-20T11:05:07.000Z
Universal Studios Hollywood,2018-06-20T10:50:12.000Z
Utah,2018-06-20T10:32:47.000Z
"31St Street, Midtown, Manhattan",2018-06-20T10:31:28.000Z
"Yosemite National Park, USA",2018-06-20T07:26:36.000Z
Shake Shack,2018-06-20T07:23:09.000Z
,2018-06-20T06:59:48.000Z
Gordon Ramsay Burger,2018-06-20T06:33:47.000Z
Queen Mary Long Beach Harbor,2018-06-20T05:49:21.000Z
,2018-06-20T05:18:52.000Z
,2018-06-20T05:08:54.000Z
"San Francisco, California",2018-06-20T05:06:44.000Z
Gold Medal Park,2018-06-20T04:19:57.000Z
"Niagara Falls, New York",2018-06-20T03:02:52.000Z
"Point Loma, San Diego",2018-06-20T02:45:26.000Z
"Newport Beach, California",2018-06-20T01:36:27.000Z
"Salton Sea Beach, California",2018-06-20T01:15:10.000Z
Jonty Jacobs Biltong,2018-06-20T01:00:40.000Z
Empire State Building,2018-06-20T00:54:18.000Z
,2018-06-20T00:51:15.000Z
Chrysler Building,2018-06-20T00:49:17.000Z
Chrysler Building,2018-06-20T00:45:56.000Z
"Washington, District of Columbia",2018-06-20T00:21:45.000Z
Sebastian Joe's,2018-06-19T23:48:58.000Z
North Beach Park,2018-06-19T23:19:27.000Z
"Detroit, Michigan",2018-06-19T23:04:45.000Z
Ghirardelli Square,2018-06-19T22:56:44.000Z
Carson Kitchen,2018-06-19T22:05:47.000Z
Gaslamp Quarter,2018-06-19T22:00:01.000Z
Disneyland,2018-06-19T21:41:39.000Z
,2018-06-19T21:28:25.000Z
"San Francisco, California",2018-06-19T20:20:11.000Z
In N Out,2018-06-19T19:05:48.000Z
,2018-06-19T18:36:06.000Z
Griffith Park,2018-06-19T17:15:08.000Z
,2018-06-19T16:38:14.000Z
"Big Sur, California",2018-06-19T16:27:05.000Z
Zaha Hadid 520 West 28th Street,2018-06-19T15:19:18.000Z
,2018-06-19T14:36:02.000Z
Yosemite National Park,2018-06-19T14:26:58.000Z
,2018-06-19T14:07:25.000Z
,2018-06-19T13:43:21.000Z
"Russian Hill, San Francisco",2018-06-19T13:38:50.000Z
"Santa Monica, California",2018-06-19T13:35:00.000Z
Illinois,2018-06-19T13:26:09.000Z
Universal Studios Hollywood,2018-06-19T13:20:52.000Z
,2018-06-19T11:42:30.000Z
"New York, New York",2018-06-19T11:20:10.000Z
Griffith Observatory,2018-06-19T10:47:41.000Z
Golden Gate Bridge,2018-06-19T07:24:19.000Z
Golden Gate Bridge,2018-06-19T07:20:32.000Z
Horseshoe Bend,2018-06-19T06:17:38.000Z
,2018-06-19T05:01:15.000Z
"Saint Paul, Minnesota",2018-06-19T04:51:36.000Z
Boys in the Band at the Booth Theater,2018-06-19T04:11:18.000Z
Space Needle,2018-06-19T03:56:57.000Z
"DUMBO, Brooklyn",2018-06-19T03:36:38.000Z
"California,USA",2018-06-19T03:25:49.000Z
"Universal City, California",2018-06-19T02:57:55.000Z
Wolfgang'S Steakhouse,2018-06-19T02:41:36.000Z
,2018-06-19T02:21:39.000Z
Seven Falls,2018-06-19T02:11:54.000Z
,2018-06-19T02:06:53.000Z
"Santa Monica, California",2018-06-19T02:05:18.000Z
Palace of Fine Arts Theatre,2018-06-19T01:41:28.000Z
"Seligman, Arizona",2018-06-19T01:35:26.000Z
Golden Gate Bridge,2018-06-19T01:13:29.000Z
Bard College,2018-06-19T01:04:48.000Z
,2018-06-19T00:48:07.000Z
"Seattle, Washington",2018-06-18T22:47:33.000Z
"Miami Beach, Florida",2018-06-18T21:55:05.000Z
Provincetown Causeway,2018-06-18T21:41:51.000Z
Rialto Cafe Downtown Fullerton,2018-06-18T21:07:25.000Z
Golden Gate Bridge,2018-06-18T20:45:55.000Z
Golden Gate Bridge,2018-06-18T20:43:54.000Z
"Las Vegas, Nevada",2018-06-18T20:07:00.000Z
Horseshoe Bend,2018-06-18T20:02:08.000Z
Horseshoe Bend,2018-06-18T19:59:46.000Z
"Financial District, Manhattan",2018-06-18T19:39:34.000Z
In-N-Out Burger,2018-06-18T17:59:28.000Z
Chicago Midway International Airport,2018-06-18T17:36:06.000Z
"Las Vegas, Nevada",2018-06-18T17:35:56.000Z
"Jamaica, New York",2018-06-18T17:26:59.000Z
"Seligman, Arizona",2018-06-18T17:10:05.000Z
NintendoNYC,2018-06-16T12:57:26.000Z
"Seligman, Arizona",2018-06-18T17:06:49.000Z
Lincoln Memorial,2018-06-18T16:56:29.000Z
Santa Monica Pier,2018-06-18T16:24:39.000Z
"Badwater, California",2018-06-18T15:50:23.000Z
"Detroit, Michigan",2018-06-18T15:09:29.000Z
,2018-06-18T15:04:49.000Z
Golden Gate Bridge,2018-06-18T14:40:12.000Z
"Downtown San Francisco, California",2018-06-18T14:28:03.000Z
"New York, New York",2018-06-18T12:20:46.000Z
"Yosemite National Park, USA",2018-06-18T12:05:26.000Z
"New York, New York",2018-06-18T09:53:59.000Z
W New York - Times Square,2018-06-18T09:33:33.000Z
Las Vegas Nevada,2018-06-18T09:27:34.000Z
,2018-06-18T09:10:26.000Z
,2018-06-18T06:39:39.000Z
Lewisville Lake,2018-06-18T05:22:18.000Z
Allstate Arena,2018-06-18T05:17:34.000Z
"Rodeo Dr, Beverly Hills, CA",2018-06-18T05:12:34.000Z
Arts District Los Angeles,2018-06-18T04:59:11.000Z
Massachusetts,2018-06-18T03:40:49.000Z
Statue of Liberty National Monument,2018-06-18T03:18:17.000Z
"Los Angeles, California",2018-06-18T02:48:57.000Z
Arts District Los Angeles,2018-06-18T02:36:36.000Z
Blue Bottle Coffee,2018-06-18T02:24:12.000Z
The Broad,2018-06-18T02:17:20.000Z
Gershwin Theater,2018-06-18T01:55:14.000Z
Le Rêve,2018-06-18T01:42:08.000Z
Disney's Hollywood Studios,2018-06-18T01:21:55.000Z
"Santa Monica, California",2018-06-18T01:10:44.000Z
Los Angeles International Airport,2018-06-18T00:53:05.000Z
Grand Canyon South Rim,2018-06-18T00:38:09.000Z
Grand Canyon South Rim,2018-06-18T00:35:43.000Z
Grand Canyon South Rim,2018-06-18T00:18:32.000Z
"Hoboken, New Jersey",2018-06-18T00:03:33.000Z
New York City - Manhattan - Nyc,2018-06-17T23:56:11.000Z
The Venetian Resort Las Vegas,2018-06-17T20:05:30.000Z
Arches National Park,2018-06-17T23:11:58.000Z
Golden Gate Bridge,2018-06-17T21:03:24.000Z
"Frankfort, Kentucky",2018-06-17T20:56:17.000Z
"Los Angeles, California",2018-06-17T19:52:48.000Z
Grand Canyon National Park,2018-06-17T18:52:08.000Z
Statue Of Liberty,2018-06-17T18:30:11.000Z
"New York, New York",2018-06-17T18:12:02.000Z
Central Park,2018-06-17T18:00:41.000Z
"New York, New York",2018-06-17T18:00:33.000Z
"San Diego, California",2018-06-17T17:39:53.000Z
National Aquarium,2018-06-17T17:27:11.000Z
"New York, New York",2018-06-17T16:40:11.000Z
,2018-06-17T15:04:06.000Z
"Long Beach Island, NJ",2018-06-17T14:30:17.000Z
,2018-06-17T13:22:27.000Z
"Lake Calhoun, Lake Of The Isles And Lake Harriet",2018-06-17T13:09:38.000Z
Golden Gate Bridge North Vista Point,2018-06-17T13:03:57.000Z
"New Orleans, Louisiana",2018-06-17T11:57:01.000Z
,2018-06-17T11:50:37.000Z
,2018-06-17T10:55:09.000Z
"Las Vegas, Nevada",2018-06-17T09:59:00.000Z
,2018-06-17T09:44:23.000Z
"Perth, Western Australia",2018-06-17T07:43:46.000Z
"North Beach, San Francisco",2018-06-17T07:43:09.000Z
Urban Light,2018-06-17T07:19:15.000Z
Grand Canyon National Park,2018-06-17T06:46:16.000Z
"Coronado Beach, San Diego",2018-06-17T06:43:27.000Z
"Waikiki, Hawaii",2018-06-17T05:20:57.000Z
Voodoo Doughnut,2018-06-17T05:01:42.000Z
Eagle Mountain Lake,2018-06-17T04:50:00.000Z
,2018-06-17T04:39:33.000Z
Universal Studios Hollywood,2018-06-17T04:34:03.000Z
Cofax,2018-06-17T04:28:08.000Z
"Los Angeles, California",2018-06-17T03:41:55.000Z
"Niagara Falls State Park, USA",2018-06-17T03:25:15.000Z
Grand Canyon National Park,2018-06-17T02:41:42.000Z
"Minneapolis, Minnesota",2018-06-17T01:04:01.000Z
"Orlando, Florida",2018-06-17T00:44:21.000Z
"Seattle, Washington",2018-06-17T00:39:39.000Z
The John F. Kennedy Center for the Performing Arts,2018-06-16T23:16:09.000Z
The John F. Kennedy Center for the Performing Arts,2018-06-16T23:12:22.000Z
Las Vegas (airport),2018-06-16T22:20:12.000Z
"Embarcadero, California",2018-06-16T21:30:04.000Z
"Los Angeles, California",2018-06-16T21:28:12.000Z
"Seattle, Washington",2018-06-16T21:21:21.000Z
Historical Route 66 Motel,2018-06-16T21:20:33.000Z
"Manhattan, New York",2018-06-16T20:54:13.000Z
,2018-06-16T20:39:56.000Z
Death Valley National Park,2018-06-16T19:58:19.000Z
Hollywood Sign,2018-06-16T19:04:14.000Z
Yosemite National Park,2018-06-16T15:58:30.000Z
Las Vegas Nevada,2018-06-16T14:17:49.000Z
Yerba Buena Center for the Arts,2018-06-16T14:10:46.000Z
Chinese Theatre Hollywood,2018-06-16T13:27:16.000Z
Yosemite National Park,2018-06-16T13:17:37.000Z
Red Rock Canyon Las Vegas,2018-06-16T12:51:23.000Z
"New Orleans, Louisiana",2018-06-16T12:20:26.000Z
"Hillwood Estate, Museum & Gardens",2018-06-16T10:07:13.000Z
"Washington, District of Columbia",2018-06-16T09:57:45.000Z
"Hillwood Estate, Museum & Gardens",2018-06-16T09:53:38.000Z
Mason's Famous Lobster Rolls,2018-06-16T09:49:04.000Z
The Wizarding World of Harry Potter at Universal Studios Hollywood,2018-06-16T07:48:19.000Z
,2018-06-16T07:13:47.000Z
United States,2018-06-16T07:05:43.000Z
Warner Bros. Studio Tour Hollywood,2018-06-16T06:55:39.000Z
Santa Monica Pier,2018-06-16T06:20:25.000Z
Wurstküche,2018-06-16T06:14:18.000Z
,2018-06-16T05:46:20.000Z
,2018-06-16T05:09:42.000Z
,2018-06-16T05:08:04.000Z
,2018-06-16T04:56:32.000Z
,2017-01-22T10:56:45.000Z
Brooklyn Bridge,2018-06-16T04:06:06.000Z
,2018-06-16T03:22:47.000Z
Crazy Craig's Cheeky Monkey Bar,2018-06-16T03:08:26.000Z
Millennium Park,2018-06-16T03:02:56.000Z
"Los Angeles, California",2018-06-16T02:42:20.000Z
Capitol Hill,2018-06-16T01:58:43.000Z
,2018-06-16T01:47:29.000Z
Yosemite National Park,2018-06-16T01:23:34.000Z
"Portland, Oregon",2018-06-16T00:38:25.000Z
"Houston, Texas",2018-06-16T00:10:43.000Z
"Carousel Bar at Hotel Monteleone, New Orleans",2018-06-15T23:44:51.000Z
"New York, Central Park",2018-06-15T22:18:53.000Z
"Los Angeles, California",2018-06-15T21:12:15.000Z
,2018-06-15T20:55:33.000Z
Hostel Detroit,2018-06-15T20:01:28.000Z
,2018-06-15T18:48:08.000Z
Paul Smith Melrose,2018-06-15T17:41:56.000Z
"SoHo, Manhattan",2018-06-15T17:28:28.000Z
Amangiri,2018-06-15T16:32:58.000Z
"Financial District, San Francisco",2018-06-15T16:24:11.000Z
,2018-06-15T15:09:56.000Z
,2018-06-15T14:14:44.000Z
Golden Gate Park,2018-06-15T14:01:53.000Z
,2018-06-15T14:01:22.000Z
"New York, New York",2018-06-15T13:30:10.000Z
,2018-06-15T12:46:15.000Z
"Portland, Oregon",2018-06-15T12:38:58.000Z
"Chicago, Illinois",2018-06-15T12:31:13.000Z
"Philadelphia, Pennsylvania",2018-06-15T11:49:20.000Z
Griffith Observatory,2018-06-15T11:42:43.000Z
Yosemite National Park,2018-06-15T11:26:59.000Z
"Mountain Top, Pennsylvania",2018-06-15T09:49:33.000Z
,2018-06-15T09:14:45.000Z
,2018-06-15T09:07:57.000Z
Hollywood Walk of Fame,2018-06-15T07:49:19.000Z
,2018-06-09T03:47:12.000Z
"Portland, Oregon",2018-06-15T05:20:02.000Z
,2018-06-15T04:28:25.000Z
Grand Canyon South Rim,2018-06-15T03:49:26.000Z
"Washington, District of Columbia",2018-06-15T03:36:06.000Z
Universal Orlando Resort,2018-06-15T03:01:59.000Z
"Golden Gate,San Francisco",2018-06-15T02:21:27.000Z
Minnesota,2018-06-15T02:13:14.000Z
Hollywood Sign,2018-06-15T00:39:21.000Z
"Wichita Falls, Texas",2018-06-14T23:35:31.000Z
Clinton Street Baking Company,2018-06-14T22:51:31.000Z
Capitol Hill,2018-06-14T22:37:34.000Z
"New York, New York",2018-06-14T22:04:36.000Z
,2018-06-14T21:33:44.000Z
"Times Square, New York City",2018-06-14T21:27:34.000Z
"San Francisco, California",2018-06-14T21:27:17.000Z
"Branson, Missouri",2018-06-14T20:42:06.000Z
"Russian Hill, San Francisco",2018-06-14T18:53:56.000Z
La Jolla Cove,2018-06-14T17:35:49.000Z
"Beverly Hills, California",2018-06-14T16:51:18.000Z
The Standard Spa - Miami,2018-06-14T15:11:46.000Z
"San Francisco, California",2018-06-14T14:44:27.000Z
"Yosemite National Park, USA",2018-06-14T13:49:23.000Z
,2018-06-14T10:03:28.000Z
The Cheesecake Factory,2018-06-14T06:58:32.000Z
,2018-06-14T06:49:00.000Z
Nevada,2018-06-14T06:44:33.000Z
Arizona,2018-06-14T05:59:21.000Z
"Manhattan Beach, California",2018-06-14T05:25:51.000Z
Oregon Dunes National Recreation Area,2018-06-14T04:43:26.000Z
Oregon Dunes National Recreation Area,2018-06-14T04:37:16.000Z
"Chicago, Illinois",2018-06-14T03:45:07.000Z
Zion National Park,2018-06-14T03:10:06.000Z
Hard Rock Miami,2018-06-14T02:51:46.000Z
,2018-06-14T02:04:53.000Z
"Statue Of Liberty, Liberty Island, New York City",2018-06-13T22:44:06.000Z
Oracle Arena,2018-05-08T18:28:13.000Z
,2018-06-13T21:19:11.000Z
Dubai International Terminal 3,2018-06-13T21:18:55.000Z
"Washington, District of Columbia",2018-06-13T20:09:21.000Z
"Mojave, California",2018-06-13T19:36:33.000Z
Forestbar,2018-06-13T19:32:18.000Z
Millennium Park,2018-06-13T18:54:51.000Z
"Manhattan, New York",2018-06-13T17:35:42.000Z
,2018-06-13T16:55:07.000Z
,2018-06-13T16:09:49.000Z
,2018-06-13T14:34:32.000Z
"Charlotte, North Carolina",2018-06-13T13:57:15.000Z
Red Red Wine Bar,2018-06-13T13:43:27.000Z
Disney Springs,2018-06-13T13:34:19.000Z
Oceans Edge Key West Resort and Marina,2018-06-13T13:26:43.000Z
Nepenthe Big Sur,2018-06-13T12:57:15.000Z
"San Francisco, California",2018-06-13T11:20:17.000Z
Yosemite National Park,2018-06-13T11:04:40.000Z
,2018-06-13T11:02:16.000Z
"San Diego, California",2018-06-13T07:35:57.000Z
Zion National Park,2018-06-13T07:22:05.000Z
Lola,2018-06-13T07:05:27.000Z
Disneyland,2018-06-13T06:47:09.000Z
Staples Center,2018-06-13T05:16:31.000Z
"Yosemite National Park, USA",2018-06-13T04:24:21.000Z
Detroit Institute of Arts,2018-06-13T03:51:51.000Z
"Gig Harbor, Washington",2018-06-13T03:34:57.000Z
,2018-06-13T03:33:40.000Z
Anderson Pavilion,2018-06-13T02:31:02.000Z
"Branson, Missouri",2018-06-13T02:24:52.000Z
"North Miami Beach, Florida",2018-06-13T01:13:54.000Z
"Chicago, Illinois",2018-06-13T00:37:21.000Z
"Adelanto, California",2018-06-13T00:36:31.000Z
"Tuba City, Arizona",2018-06-13T00:13:03.000Z
Walt Disney Concert Hall,2018-06-12T23:54:43.000Z
Venice Beach - Venice Boulevard,2018-06-12T22:37:18.000Z
,2018-06-12T21:44:03.000Z
Universal Studios Hollywood,2018-06-12T20:49:34.000Z
"Manhattan, New York",2018-06-12T20:12:04.000Z
Grand Canyon National Park,2018-06-12T20:09:25.000Z
"Boston, Massachusetts",2018-06-12T19:55:14.000Z
"Kissimmee, Florida",2018-06-12T19:42:50.000Z
"Lake Powell, Glen Canyon Dam, Arizona",2018-06-12T19:13:18.000Z
"Chicago, Illinois",2018-06-12T18:15:50.000Z
Hollywood,2018-06-12T16:32:12.000Z
Utah,2018-06-12T16:25:59.000Z
Madame Tussauds DC,2018-06-12T16:25:38.000Z
Central (MBTA station),2018-06-12T16:20:47.000Z
"Cambridge, Massachusetts",2018-06-12T16:17:36.000Z
,2018-06-12T16:17:34.000Z
,2018-06-12T15:12:04.000Z
Hollywood Sign,2018-06-12T15:00:10.000Z
"San Diego, California",2018-06-12T14:56:23.000Z
,2018-06-12T13:37:36.000Z
,2018-06-12T13:14:24.000Z
The White House,2018-06-12T13:00:47.000Z
,2018-06-12T12:35:15.000Z
,2018-06-12T12:32:28.000Z
"Manchester, New Hampshire",2018-06-12T11:45:59.000Z
The Perry Hotel Key West,2018-06-12T10:32:49.000Z
David H Koch Theater at Lincoln Center,2018-06-12T10:29:46.000Z
,2018-06-12T09:40:22.000Z
Golden Gate Bridge,2018-06-12T09:13:34.000Z
,2018-06-12T09:09:53.000Z
,2018-06-12T08:34:00.000Z
Horseshoe Bend,2018-06-12T07:13:31.000Z
Hollywood Walk of Fame - Los Angeles,2018-06-12T07:11:13.000Z
"Baraboo, Wisconsin",2018-06-12T06:11:56.000Z
Universal Studios Hollywood,2018-06-12T04:54:53.000Z
"Times Square, New York City",2018-06-12T04:18:59.000Z
"Albuquerque, New Mexico",2018-06-12T03:40:47.000Z
Andy's Jazz Club,2018-06-12T03:20:34.000Z
"Novi, Michigan",2018-05-26T17:15:17.000Z
Old Pine Community Center,2018-06-12T03:14:42.000Z
Delta,2018-06-12T02:58:29.000Z
,2018-06-12T01:28:10.000Z
"New Harbor, Maine",2018-06-12T01:16:21.000Z
"Hulbert, Oklahoma",2018-06-12T01:03:09.000Z
"Los Angeles, California",2018-06-12T00:09:59.000Z
,2018-06-11T22:47:02.000Z
Venice Beach L.A.,2018-06-11T21:55:51.000Z
United States Capitol,2018-06-11T21:27:53.000Z
"Washington, District of Columbia",2018-06-11T20:01:50.000Z
,2018-06-11T19:39:11.000Z
"Southern Most Part of the US ""Key West""",2018-06-11T19:34:20.000Z
"Intrepid Sea, Air & Space Museum",2018-06-11T19:20:27.000Z
Washington Dulles International Airport,2018-06-11T19:09:31.000Z
,2018-06-11T18:53:07.000Z
"Southern Most Part of the US ""Key West""",2018-06-11T18:48:51.000Z
"DUMBO, Brooklyn",2018-06-11T18:11:12.000Z
Oz Park,2018-06-11T16:59:30.000Z
Calaveras Big Trees State Park,2018-06-11T16:46:33.000Z
"Los Angeles, Venice Beach",2018-06-11T16:43:42.000Z
Freehand Chicago,2018-06-11T16:20:31.000Z
"Yellow Springs, Ohio",2018-06-11T16:10:44.000Z
Wilshire Boulevard,2018-06-11T15:48:41.000Z
,2018-06-11T15:47:49.000Z
,2018-06-11T15:45:06.000Z
"San Francisco, California",2018-06-11T15:00:13.000Z
"New York, New York",2018-06-11T14:50:47.000Z
"Los Angeles, California",2018-06-11T14:44:54.000Z
,2018-06-11T14:39:02.000Z
Brooklyn Bridge,2018-06-11T14:01:30.000Z
"Chicago, Illinois",2018-06-11T13:55:12.000Z
Salvation Mountain,2018-06-11T13:46:02.000Z
"Washington, District of Columbia",2018-06-11T12:32:44.000Z
,2018-06-11T12:09:29.000Z
Tiffany & Co.,2018-06-11T12:06:27.000Z
Getty Museum,2018-03-04T21:56:43.000Z
Death Valley National Park,2018-06-11T11:12:44.000Z
"New York, New York",2018-06-11T10:41:57.000Z
,2018-06-11T10:22:55.000Z
Capitol Washington DC,2018-06-11T09:16:52.000Z
,2018-06-11T08:38:42.000Z
"Manhattan Beach, California",2018-06-11T07:08:55.000Z
"Santa Barbara, California",2018-06-11T05:34:46.000Z
,2018-06-11T05:28:18.000Z
Lombard Street,2018-06-11T04:48:02.000Z
"Coronado, California",2018-06-11T04:35:58.000Z
Grand Bahama International Airport,2018-06-11T04:33:15.000Z
Antelope Canyon,2018-06-11T03:59:12.000Z
Grand Canyon National Park,2018-06-11T03:55:59.000Z
"Santa Monica, California",2018-06-11T03:23:32.000Z
New York Subway R train,2018-06-11T03:06:51.000Z
Broken Shaker at Freehand Chicago,2018-06-11T02:14:15.000Z
,2018-06-11T02:04:32.000Z
Grand Canyon National Park,2018-06-10T22:52:02.000Z
Washington,2018-06-10T21:16:27.000Z
"Fort Lauderdale, Florida",2018-06-10T20:47:45.000Z
"Fort Lauderdale, Florida",2018-06-10T20:46:51.000Z
Las Olas,2018-06-10T20:46:10.000Z
Las Olas,2018-06-10T20:45:41.000Z
"Fort Lauderdale, Florida",2018-06-10T20:42:36.000Z
"Fort Lauderdale, Florida",2018-06-10T20:41:36.000Z
"Venice, California",2018-06-10T19:58:35.000Z
Grand Canyon National Park,2018-06-10T19:56:09.000Z
,2018-06-10T19:41:57.000Z
"New York, Central Park",2018-06-10T19:02:00.000Z
The Art Institute of Chicago,2018-06-10T18:41:37.000Z
"Brookings, Oregon",2018-06-10T18:10:05.000Z
National Harbor,2018-06-10T17:54:58.000Z
"Orlando, Florida",2018-06-10T17:30:11.000Z
,2018-06-10T15:24:35.000Z
International Terminal - Tan Son Nhat Int'l Airport,2018-06-09T15:15:32.000Z
"Laguna Beach, California",2018-06-10T13:21:05.000Z
Atlantic City Boardwalk,2018-06-10T12:20:57.000Z
"Atlantic City, New Jersey",2018-06-10T12:14:45.000Z
William Livingstone Lighthouse - Belle Isle,2018-06-10T11:43:58.000Z
,2018-06-10T11:37:34.000Z
,2018-06-10T11:28:41.000Z
,2018-06-10T11:25:07.000Z
,2018-06-10T11:21:10.000Z
,2018-06-10T11:14:23.000Z
"Atlanta, Georgia",2018-06-10T10:57:20.000Z
,2018-06-10T10:50:05.000Z
,2018-06-10T10:47:31.000Z
,2018-06-10T10:44:17.000Z
The Friends Apartment Building,2018-06-10T10:30:36.000Z
The Oculus at the World Trade Center,2018-06-10T10:06:37.000Z
,2018-06-10T09:48:26.000Z
"Airport Vortex, Sedona, AZ",2018-06-10T08:37:17.000Z
Lake Tahoe,2018-06-10T06:48:05.000Z
"Pasadena, California",2018-06-10T06:26:35.000Z
"Times Square, New York City",2018-06-10T05:58:29.000Z
Grand Canyon National Park,2018-06-10T05:30:31.000Z
,2018-06-10T04:43:36.000Z
,2018-06-10T04:25:50.000Z
,2018-06-10T04:04:03.000Z
"New York, New York",2018-06-10T03:56:32.000Z
"New Orleans, Louisiana",2018-06-10T03:02:35.000Z
Commerce Casino,2018-06-10T01:51:25.000Z
,2018-06-10T01:46:44.000Z
The Green Goddess,2018-06-10T01:34:20.000Z
,2018-06-10T01:29:09.000Z
,2018-06-10T01:13:51.000Z
,2018-06-09T23:22:17.000Z
Brickell City Centre,2018-06-09T22:59:02.000Z
United Center,2018-06-09T22:37:07.000Z
,2018-06-09T22:14:53.000Z
"New York, New York",2018-06-09T22:03:20.000Z
"POV Terrace at W Hotel, Washington DC",2018-06-09T20:40:00.000Z
Universal Studios Hollywood,2018-06-09T20:16:20.000Z
"Key West, Florida",2018-06-09T20:16:11.000Z
Grand Canyon National Park,2018-06-09T19:33:09.000Z
,2018-06-09T18:25:56.000Z
,2018-06-09T18:18:17.000Z
,2018-06-09T15:42:43.000Z
Freehand Chicago,2018-06-09T14:40:26.000Z
,2018-06-09T14:13:35.000Z
"San Diego, California",2018-06-09T11:27:15.000Z
"Alcatraz, San Francisco Bay",2018-06-09T11:09:10.000Z
Catalina Island,2018-06-09T11:07:07.000Z
"Sequoia National Park, California",2018-06-09T08:37:06.000Z
Phil's BBQ,2018-06-09T07:29:08.000Z
"Chicago, Illinois",2018-06-09T06:18:32.000Z
Dumpling Time,2018-06-09T05:50:27.000Z
,2018-06-09T05:46:54.000Z
Utah,2018-06-09T05:39:34.000Z
"New Orleans, Louisiana",2018-06-09T05:36:12.000Z
Utah,2018-06-09T05:29:26.000Z
"Moab, Utah",2018-06-09T05:29:22.000Z
Bellagio Las Vegas,2018-06-09T05:19:35.000Z
,2018-06-09T04:39:11.000Z
,2018-06-09T04:17:30.000Z
,2018-06-09T03:50:03.000Z
,2018-06-09T03:45:53.000Z
American Museum of Natural History,2018-06-09T03:38:30.000Z
International Drive Orlando,2018-06-09T03:05:15.000Z
Kingman Railroad Museum,2018-06-09T01:36:55.000Z
,2018-06-09T01:29:55.000Z
"Sherman Oaks, California",2018-06-09T00:49:49.000Z
Alcatraz Federal Prison,2018-06-09T00:48:08.000Z
Alcatraz Federal Prison,2018-06-09T00:39:10.000Z
Fisherman's Wharf,2018-06-09T00:27:39.000Z
"New York, New York",2018-06-09T00:04:10.000Z
Maverick Helicopters,2018-06-09T00:02:04.000Z
Giordano's Pizza,2018-06-08T23:33:49.000Z
"New Orleans, Louisiana",2018-06-08T23:03:19.000Z
United States Capitol,2018-06-08T22:58:31.000Z
Grand Canyon National Park,2018-06-08T21:21:54.000Z
"New Orleans, Louisiana",2018-06-08T21:14:01.000Z
Coronado Beach,2018-06-08T20:35:11.000Z
"New Orleans, Louisiana",2018-06-08T19:59:28.000Z
"New York, New York",2018-06-08T19:58:03.000Z
National Mall,2018-06-08T18:40:54.000Z
"Santa Monica, California",2018-06-08T18:08:23.000Z
Paul Smith Melrose,2018-06-08T17:18:31.000Z
"Emerald Bay, California",2018-06-08T17:12:02.000Z
,2018-06-08T16:14:23.000Z
Lower Yosemite Falls,2018-06-08T15:31:11.000Z
United States Capitol,2018-06-08T15:28:09.000Z
"Universal Orlando, Island of Adventures",2018-06-08T15:21:44.000Z
"Times Square, New York City",2018-06-08T13:49:41.000Z
"Baltimore, Maryland",2018-06-08T12:49:09.000Z
Madame Tussauds Las Vegas,2018-06-08T12:29:01.000Z
"Long Beach, California",2018-06-08T11:46:39.000Z
"New York, New York",2018-06-08T11:46:18.000Z
,2018-06-08T11:43:44.000Z
